ENTITY_NAME;NEW ENTITY_NAME
authentiacation.factor.first;authentication.factor.first
authentiacation.factor.second;authentication.factor.second
authentication.type;authentication.type
client.application.id;client.application.id
client.application.version;client.application.version
client.build_id;client.build_id
client.environment;client.environment
client.version;client.version
db.operation.name;db.operation.name
db.query.text;db.query.text
db.snowflake.connection;db.snowflake.connection
db.user;db.user
error.code;error.code
event.id;event.id
event.kind;event.kind
event.related_id;event.related_id
session.id;session.id
snowflake.budget.name;snowflake.budget.name
snowflake.budget.owner;snowflake.budget.owner
snowflake.budget.owner.role_type;snowflake.budget.owner.role_type
snowflake.budget.resource;snowflake.budget.resource
snowflake.cluster_number;snowflake.cluster_number
snowflake.database.id;snowflake.database.id
snowflake.entity.details;snowflake.entity.details
snowflake.entity.id;snowflake.entity.id
snowflake.entity.name;snowflake.entity.name
snowflake.entity.type;snowflake.entity.type
snowflake.event.resource;snowflake.event.resource
snowflake.event.scope_attributes;snowflake.event.scope_attributes
snowflake.release_version;snowflake.release_version
snowflake.resource_monitor.frequency;snowflake.resource_monitor.frequency
snowflake.resource_monitor.is_active;snowflake.resource_monitor.is_active
snowflake.resource_monitor.level;snowflake.resource_monitor.level
snowflake.schema.id;snowflake.schema.id
snowflake.schema.name;snowflake.schema.name
snowflake.secondary_role_stats;snowflake.secondary_role_stats
snowflake.session.closed_reason;snowflake.session.closed_reason
snowflake.session.start;snowflake.session.start
snowflake.table_type;snowflake.table_type
snowflake.task.condition;snowflake.task.condition
snowflake.task.config;snowflake.task.config
snowflake.task.config.allow_overlap;snowflake.task.config.allow_overlap
snowflake.task.end_time;snowflake.task.end_time
snowflake.task.error_integration;snowflake.task.error_integration
snowflake.task.graph.root_id;snowflake.task.graph.root_id
snowflake.task.graph.version;snowflake.task.graph.version
snowflake.task.id;snowflake.task.id
snowflake.task.last_committed_on;snowflake.task.last_committed_on
snowflake.task.last_suspended_on;snowflake.task.last_suspended_on
snowflake.task.owner;snowflake.task.owner
snowflake.task.predecessors;snowflake.task.predecessors
snowflake.task.run.attempt;snowflake.task.run.attempt
snowflake.task.run.completed_time;snowflake.task.run.completed_time
snowflake.task.run.group_id;snowflake.task.run.group_id
snowflake.task.run.id;snowflake.task.run.id
snowflake.task.run.return_value;snowflake.task.run.return_value
snowflake.task.run.scheduled_time;snowflake.task.run.scheduled_time
snowflake.task.run.sheduled_from;snowflake.task.run.scheduled_from
snowflake.task.run.state;snowflake.task.run.state
snowflake.task.schedule;snowflake.task.schedule
snowflake.task.start_time;snowflake.task.start_time
snowflake.trust_center.scanner.name;snowflake.trust_center.scanner.name
snowflake.trust_center.scanner.package.name;snowflake.trust_center.scanner.package.name
snowflake.user.bypass_mfa_until;snowflake.user.bypass_mfa_until
snowflake.user.comment;snowflake.user.comment
snowflake.user.display_name;snowflake.user.display_name
snowflake.user.email;snowflake.user.email
snowflake.user.expires_at;snowflake.user.expires_at
snowflake.user.has_password;snowflake.user.has_password
snowflake.user.id;snowflake.user.id
snowflake.user.is_disabled;snowflake.user.is_disabled
snowflake.user.locked_until_time;snowflake.user.locked_until_time
snowflake.user.must_change_password;snowflake.user.must_change_password
snowflake.user.name;snowflake.user.name
snowflake.warehouse.cluster.number;snowflake.warehouse.cluster.number
snowflake.warehouse.event.reason;snowflake.warehouse.event.reason
snowflake.warehouse.execution_state;snowflake.warehouse.execution_state
snowflake.warehouse.has_query_acceleration_enabled;snowflake.warehouse.has_query_acceleration_enabled
snowflake.warehouse.id;snowflake.warehouse.id
snowflake.warehouse.is_auto_resume;snowflake.warehouse.is_auto_resume
snowflake.warehouse.is_auto_suspend;snowflake.warehouse.is_auto_suspend
snowflake.warehouse.is_current;snowflake.warehouse.is_current
snowflake.warehouse.is_default;snowflake.warehouse.is_default
snowflake.warehouse.owner;snowflake.warehouse.owner
snowflake.warehouse.scaling_policy;snowflake.warehouse.scaling_policy
snowflake.warehouse.size;snowflake.warehouse.size
snowflake.warehouse.type;snowflake.warehouse.type
snowflake.warehouses.names;snowflake.warehouses.names
status.code;status.code
status.message;status.message
telemetry.exporter.module;dsoa.run.context
snowflake.resource_monitor.credits.quota;snowflake.credits.quota
snowflake.resource_monitor.credits.remaining;snowflake.credits.quota.remaining
snowflake.resource_monitor.credits.used;snowflake.credits.quota.used
snowflake.error_code;snowflake.error.code
snowflake.error_message;snowflake.error.message
snowflake.inbound_data_transfer_cloud;snowflake.query.data_transfer.inbound.cloud
snowflake.inbound_data_transfer_region;snowflake.query.data_transfer.inbound.region
snowflake.outbound_data_transfer_cloud;snowflake.query.data_transfer.outbound.cloud
snowflake.outbound_data_transfer_region;snowflake.query.data_transfer.outbound.region
snowflake.query_hash;snowflake.query.hash
snowflake.query_hash_version;snowflake.query.hash.version
snowflake.query_id;snowflake.query.id
snowflake.is_client_generated_statement;snowflake.query.is_client_generated
snowflake.query_parameterized_hash;snowflake.query.parametrized_hash
snowflake.query_parameterized_hash_version;snowflake.query.parametrized_hash.version
snowflake.parent_query_id;snowflake.query.parent_id
snowflake.query_retry_cause;snowflake.query.retry_cause
snowflake.query_tag;snowflake.query.tag
snowflake.transaction_id;snowflake.query.transaction_id
snowflake.role_name;snowflake.role.name
snowflake.role_type;snowflake.role.type
snowflake.task.instance.id;snowflake.task.instance_id
snowflake.user.default_namespace;snowflake.user.default.namespace
snowflake.user.default_role;snowflake.user.default.role
snowflake.user.default_secondary_role;snowflake.user.default.secondary_role
snowflake.user.default_warehouse;snowflake.user.default.warehouse
snowflake.user.ext_authn_duo;snowflake.user.ext_authn.duo
snowflake.user.ext_authn_uid;snowflake.user.ext_authn.uid
snowflake.user.snowflake_lock;snowflake.user.is_locked
snowflake.user.first_name;snowflake.user.name.first
snowflake.user.last_name;snowflake.user.name.last
snowflake.user.ownership_role;snowflake.user.owner
snowflake.user.all_roles;snowflake.user.roles.direct
snowflake.warehouse.cluster_number;snowflake.warehouse.cluster.number
snowflake.warehouse.cluster.count;snowflake.warehouse.clusters.count
snowflake.warehouse.owner_role_type;snowflake.warehouse.owner.role_type
client.ip;client.ip
client.type;client.type
db.collection.name;db.collection.name
db.namespace;db.namespace
db.operation.name;db.operation.name
db.system;db.system
db.user;db.user
deployment.environment;deployment.environment
event.category;event.category
event.name;event.name
host.name;host.name
service.name;service.name
snowflake.budget.name;snowflake.budget.name
snowflake.query.execution_status;snowflake.query.execution_status
snowflake.resource_monitor.name;snowflake.resource_monitor.name
snowflake.schema.name;snowflake.schema.name
snowflake.task.name;snowflake.task.name
snowflake.trust_center.scanner.id;snowflake.trust_center.scanner.id
snowflake.trust_center.scanner.package.id;snowflake.trust_center.scanner.package.id
snowflake.trust_center.scanner.type;snowflake.trust_center.scanner.type
snowflake.warehouse.event.name;snowflake.warehouse.event.name
snowflake.warehouse.event.state;snowflake.warehouse.event.state
snowflake.warehouse.name;snowflake.warehouse.name
telemetry.exporter.name;telemetry.exporter.name
telemetry.exporter.version;telemetry.exporter.version
vulnerability.risk.level;vulnerability.risk.level
db.snowflake.db_names;db.snowflake.dbs
db.snowflake.table_names;db.snowflake.tables
db.snowflake.view_names;db.snowflake.views
snowflake.role_name;snowflake.role.name
snowflake.budget.spending.service_type;snowflake.service.type
snowflake.budget.created_on;snowflake.budget.created_on
snowflake.task.graph.version.created_on;snowflake.task.graph.version.created_on
snowflake.user.created_on;snowflake.user.created_on
snowflake.user.deleted_on;snowflake.user.deleted_on
snowflake.user.last_success_login;snowflake.user.last_success_login
snowflake.user.password_last_set_time;snowflake.user.password_last_set_time
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?query_acceleration_bytes_scanned;snowflake.acceleration.data.scanned
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?query_acceleration_partitions_scanned;snowflake.acceleration.partitions.scanned
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?query_acceleration_upper_limit_scale_factor;snowflake.acceleration.scale_factor.max
snowflake.warehouse.query_acceleration_max_scale_factor;snowflake.acceleration.scale_factor.max
snowflake.warehouse.percentage_available;snowflake.compute.available
snowflake.warehouse.percentage_other;snowflake.compute.other
snowflake.warehouse.percentage_provisioning;snowflake.compute.provisioning
snowflake.warehouse.percentage_quiescing;snowflake.compute.quiescing
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?cloud_services.credits.used;snowflake.credits.cloud_services
snowflake.warehouse.credits.cloud_services;snowflake.credits.cloud_services
snowflake.warehouse.credits.compute;snowflake.credits.compute
snowflake.budget.spending_limit;snowflake.credits.limit
snowflake.resource_monitor.credits.quota;snowflake.credits.quota
snowflake.resource_monitor.credits.percentage_quota_used;snowflake.credits.quota.used_pct
snowflake.resource_monitor.credits.remaining;snowflake.credits.quota.remaining
snowflake.resource_monitor.credits.used;snowflake.credits.quota.used
snowflake.budget.spending.credits_spent;snowflake.credits.spent
snowflake.event_usage.credits.used;snowflake.credits.used
snowflake.serverless_tasks.credits.used;snowflake.credits.used
snowflake.warehouse.credits.used;snowflake.credits.used
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_deleted;snowflake.data.deleted
snowflake.event_usage.bytes_ingested;snowflake.data.ingested
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_read_from_result;snowflake.data.read.from_result
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?size.row_count;snowflake.data.rows
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_scanned;snowflake.data.scanned
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?percentage_scanned_from_cache;snowflake.data.scanned_from_cache
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_sent_over_the_network;snowflake.data.sent_over_the_network
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?size.bytes;snowflake.data.size
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_spilled_to_local_storage;snowflake.data.spilled.to_local_storage
